model,round,symbol,RPS
Financial Chronos Small 46M 2021 Global,3,XOM,0.36600000000000005
Financial Chronos Small 46M 2021 Global,4,ABBV,0.10883999999999998
Financial Chronos Small 46M 2021 Global,4,ACN,0.29422
Financial Chronos Small 46M 2021 Global,4,AEP,0.14070000000000002
Financial Chronos Small 46M 2021 Global,4,AIZ,0.08430000000000001
Financial Chronos Small 46M 2021 Global,4,ALLE,0.16025999999999996
Financial Chronos Small 46M 2021 Global,4,AMAT,0.12109999999999999
Financial Chronos Small 46M 2021 Global,4,AMP,0.09848000000000001
Financial Chronos Small 46M 2021 Global,4,AMZN,0.30245999999999995
Financial Chronos Small 46M 2021 Global,4,AVB,0.13014000000000003
Financial Chronos Small 46M 2021 Global,4,AVY,0.26644
Financial Chronos Small 46M 2021 Global,4,AXP,0.23093999999999998
Financial Chronos Small 46M 2021 Global,4,BDX,0.3527600000000001
Financial Chronos Small 46M 2021 Global,4,BF-B,0.24916
Financial Chronos Small 46M 2021 Global,4,BMY,0.19837999999999995
Financial Chronos Small 46M 2021 Global,4,BR,0.19204000000000002
Financial Chronos Small 46M 2021 Global,4,CARR,0.06921999999999999
Financial Chronos Small 46M 2021 Global,4,CDW,0.2379
Financial Chronos Small 46M 2021 Global,4,CE,0.14555999999999997
Financial Chronos Small 46M 2021 Global,4,CHTR,0.13455999999999999
Financial Chronos Small 46M 2021 Global,4,CNC,0.17702
Financial Chronos Small 46M 2021 Global,4,CNP,0.2911
Financial Chronos Small 46M 2021 Global,4,COP,0.34019999999999995
Financial Chronos Small 46M 2021 Global,4,CTAS,0.16993999999999998
Financial Chronos Small 46M 2021 Global,4,CZR,0.04779999999999999
Financial Chronos Small 46M 2021 Global,4,DG,0.25299999999999995
Financial Chronos Small 46M 2021 Global,4,DPZ,0.29906
Financial Chronos Small 46M 2021 Global,4,DRE,0.25924
Financial Chronos Small 46M 2021 Global,4,DXC,0.14020000000000002
Financial Chronos Small 46M 2021 Global,4,EWA,0.32863999999999993
Financial Chronos Small 46M 2021 Global,4,EWC,0.10684
Financial Chronos Small 46M 2021 Global,4,EWG,0.10170000000000001
Financial Chronos Small 46M 2021 Global,4,EWH,0.1899
Financial Chronos Small 46M 2021 Global,4,EWJ,0.07143999999999999
Financial Chronos Small 46M 2021 Global,4,EWL,0.11268
Financial Chronos Small 46M 2021 Global,4,EWQ,0.11268000000000003
Financial Chronos Small 46M 2021 Global,4,EWT,0.08131999999999998
Financial Chronos Small 46M 2021 Global,4,EWU,0.11538
Financial Chronos Small 46M 2021 Global,4,EWY,0.07822000000000001
Financial Chronos Small 46M 2021 Global,4,EWZ,0.3100199999999999
Financial Chronos Small 46M 2021 Global,4,FTV,0.08212000000000001
Financial Chronos Small 46M 2021 Global,4,GOOG,0.1456
Financial Chronos Small 46M 2021 Global,4,GPC,0.31916
Financial Chronos Small 46M 2021 Global,4,GSG,0.1346
Financial Chronos Small 46M 2021 Global,4,HIG,0.19043999999999997
Financial Chronos Small 46M 2021 Global,4,HIGH.L,0.07538000000000002
Financial Chronos Small 46M 2021 Global,4,HST,0.22344
Financial Chronos Small 46M 2021 Global,4,HYG,0.04284
Financial Chronos Small 46M 2021 Global,4,IAU,0.22156000000000003
Financial Chronos Small 46M 2021 Global,4,ICLN,0.24796000000000004
Financial Chronos Small 46M 2021 Global,4,IEAA.L,0.13516
Financial Chronos Small 46M 2021 Global,4,IEF,0.0642
Financial Chronos Small 46M 2021 Global,4,IEFM.L,0.23911999999999994
Financial Chronos Small 46M 2021 Global,4,IEMG,0.37604000000000004
Financial Chronos Small 46M 2021 Global,4,IEUS,0.0891
Financial Chronos Small 46M 2021 Global,4,IEVL.L,0.26876
Financial Chronos Small 46M 2021 Global,4,IGF,0.20802
Financial Chronos Small 46M 2021 Global,4,INDA,0.10025999999999999
Financial Chronos Small 46M 2021 Global,4,IUMO.L,0.09956000000000001
Financial Chronos Small 46M 2021 Global,4,IUVL.L,0.15377999999999997
Financial Chronos Small 46M 2021 Global,4,IVV,0.07586
Financial Chronos Small 46M 2021 Global,4,IWM,0.19180000000000003
Financial Chronos Small 46M 2021 Global,4,IXN,0.14422
Financial Chronos Small 46M 2021 Global,4,JPEA.L,0.09987999999999997
Financial Chronos Small 46M 2021 Global,4,JPM,0.11292000000000005
Financial Chronos Small 46M 2021 Global,4,KR,0.11161999999999998
Financial Chronos Small 46M 2021 Global,4,LQD,0.15452000000000005
Financial Chronos Small 46M 2021 Global,4,MCHI,0.44537999999999994
Financial Chronos Small 46M 2021 Global,4,META,0.12762
Financial Chronos Small 46M 2021 Global,4,MVEU.L,0.14409999999999998
Financial Chronos Small 46M 2021 Global,4,OGN,0.07608000000000001
Financial Chronos Small 46M 2021 Global,4,PG,0.11563999999999999
Financial Chronos Small 46M 2021 Global,4,PPL,0.22874000000000003
Financial Chronos Small 46M 2021 Global,4,PRU,0.14669999999999997
Financial Chronos Small 46M 2021 Global,4,PYPL,0.14401999999999998
Financial Chronos Small 46M 2021 Global,4,RE,0.16692
Financial Chronos Small 46M 2021 Global,4,REET,0.09386000000000001
Financial Chronos Small 46M 2021 Global,4,ROL,0.08180000000000001
Financial Chronos Small 46M 2021 Global,4,ROST,0.263
Financial Chronos Small 46M 2021 Global,4,SEGA.L,0.23700000000000002
Financial Chronos Small 46M 2021 Global,4,SHY,0.28412
Financial Chronos Small 46M 2021 Global,4,SLV,0.17236
Financial Chronos Small 46M 2021 Global,4,SPMV.L,0.0793
Financial Chronos Small 46M 2021 Global,4,TLT,0.15054
Financial Chronos Small 46M 2021 Global,4,UNH,0.17690000000000003
Financial Chronos Small 46M 2021 Global,4,URI,0.30279999999999996
Financial Chronos Small 46M 2021 Global,4,V,0.18556000000000003
Financial Chronos Small 46M 2021 Global,4,VRSK,0.09764000000000002
Financial Chronos Small 46M 2021 Global,4,VXX,0.5897800000000002
Financial Chronos Small 46M 2021 Global,4,WRK,0.1914
Financial Chronos Small 46M 2021 Global,4,XLB,0.18756
Financial Chronos Small 46M 2021 Global,4,XLC,0.12708000000000003
Financial Chronos Small 46M 2021 Global,4,XLE,0.32941999999999994
Financial Chronos Small 46M 2021 Global,4,XLF,0.14958
Financial Chronos Small 46M 2021 Global,4,XLI,0.0607
Financial Chronos Small 46M 2021 Global,4,XLK,0.10342
Financial Chronos Small 46M 2021 Global,4,XLP,0.047959999999999996
Financial Chronos Small 46M 2021 Global,4,XLU,0.10236000000000003
Financial Chronos Small 46M 2021 Global,4,XLV,0.14695999999999998
Financial Chronos Small 46M 2021 Global,4,XLY,0.11850000000000001
Financial Chronos Small 46M 2021 Global,4,XOM,0.41716
Financial Chronos Small 46M 2021 Global,5,ABBV,0.20002
Financial Chronos Small 46M 2021 Global,5,ACN,0.26837999999999995
Financial Chronos Small 46M 2021 Global,5,AEP,0.040900000000000006
Financial Chronos Small 46M 2021 Global,5,AIZ,0.1578
Financial Chronos Small 46M 2021 Global,5,ALLE,0.21700000000000003
Financial Chronos Small 46M 2021 Global,5,AMAT,0.33087999999999995
Financial Chronos Small 46M 2021 Global,5,AMP,0.15580000000000002
Financial Chronos Small 46M 2021 Global,5,AMZN,0.5016400000000001
Financial Chronos Small 46M 2021 Global,5,AVB,0.08836000000000001
Financial Chronos Small 46M 2021 Global,5,AVY,0.40612000000000015
Financial Chronos Small 46M 2021 Global,5,AXP,0.2574
Financial Chronos Small 46M 2021 Global,5,BDX,0.13940000000000002
Financial Chronos Small 46M 2021 Global,5,BF-B,0.06376
Financial Chronos Small 46M 2021 Global,5,BMY,0.30876
Financial Chronos Small 46M 2021 Global,5,BR,0.36757999999999996
Financial Chronos Small 46M 2021 Global,5,CARR,0.4947399999999999
Financial Chronos Small 46M 2021 Global,5,CDW,0.10858000000000004
Financial Chronos Small 46M 2021 Global,5,CE,0.24714000000000005
Financial Chronos Small 46M 2021 Global,5,CHTR,0.27603999999999995
Financial Chronos Small 46M 2021 Global,5,CNC,0.3094
Financial Chronos Small 46M 2021 Global,5,CNP,0.1259
Financial Chronos Small 46M 2021 Global,5,COP,0.46638
Financial Chronos Small 46M 2021 Global,5,CTAS,0.4344799999999999
Financial Chronos Small 46M 2021 Global,5,CZR,0.05668000000000002
